geoid,name,B05006001,"B05006001, Error",B05006002,"B05006002, Error",B05006003,"B05006003, Error",B05006004,"B05006004, Error",B05006005,"B05006005, Error",B05006006,"B05006006, Error",B05006007,"B05006007, Error",B05006008,"B05006008, Error",B05006009,"B05006009, Error",B05006010,"B05006010, Error",B05006011,"B05006011, Error",B05006012,"B05006012, Error",B05006013,"B05006013, Error",B05006014,"B05006014, Error",B05006015,"B05006015, Error",B05006016,"B05006016, Error",B05006017,"B05006017, Error",B05006018,"B05006018, Error",B05006019,"B05006019, Error",B05006020,"B05006020, Error",B05006021,"B05006021, Error",B05006022,"B05006022, Error",B05006023,"B05006023, Error",B05006024,"B05006024, Error",B05006025,"B05006025, Error",B05006026,"B05006026, Error",B05006027,"B05006027, Error",B05006028,"B05006028, Error",B05006029,"B05006029, Error",B05006030,"B05006030, Error",B05006031,"B05006031, Error",B05006032,"B05006032, Error",B05006033,"B05006033, Error",B05006034,"B05006034, Error",B05006035,"B05006035, Error",B05006036,"B05006036, Error",B05006037,"B05006037, Error",B05006038,"B05006038, Error",B05006039,"B05006039, Error",B05006040,"B05006040, Error",B05006041,"B05006041, Error",B05006042,"B05006042, Error",B05006043,"B05006043, Error",B05006044,"B05006044, Error",B05006045,"B05006045, Error",B05006046,"B05006046, Error",B05006047,"B05006047, Error",B05006048,"B05006048, Error",B05006049,"B05006049, Error",B05006050,"B05006050, Error",B05006051,"B05006051, Error",B05006052,"B05006052, Error",B05006053,"B05006053, Error",B05006054,"B05006054, Error",B05006055,"B05006055, Error",B05006056,"B05006056, Error",B05006057,"B05006057, Error",B05006058,"B05006058, Error",B05006059,"B05006059, Error",B05006060,"B05006060, Error",B05006061,"B05006061, Error",B05006062,"B05006062, Error",B05006063,"B05006063, Error",B05006064,"B05006064, Error",B05006065,"B05006065, Error",B05006066,"B05006066, Error",B05006067,"B05006067, Error",B05006068,"B05006068, Error",B05006069,"B05006069, Error",B05006070,"B05006070, Error",B05006071,"B05006071, Error",B05006072,"B05006072, Error",B05006073,"B05006073, Error",B05006074,"B05006074, Error",B05006075,"B05006075, Error",B05006076,"B05006076, Error",B05006077,"B05006077, Error",B05006078,"B05006078, Error",B05006079,"B05006079, Error",B05006080,"B05006080, Error",B05006081,"B05006081, Error",B05006082,"B05006082, Error",B05006083,"B05006083, Error",B05006084,"B05006084, Error",B05006085,"B05006085, Error",B05006086,"B05006086, Error",B05006087,"B05006087, Error",B05006088,"B05006088, Error",B05006089,"B05006089, Error",B05006090,"B05006090, Error",B05006091,"B05006091, Error",B05006092,"B05006092, Error",B05006093,"B05006093, Error",B05006094,"B05006094, Error",B05006095,"B05006095, Error",B05006096,"B05006096, Error",B05006097,"B05006097, Error",B05006098,"B05006098, Error",B05006099,"B05006099, Error",B05006100,"B05006100, Error",B05006101,"B05006101, Error",B05006102,"B05006102, Error",B05006103,"B05006103, Error",B05006104,"B05006104, Error",B05006105,"B05006105, Error",B05006106,"B05006106, Error",B05006107,"B05006107, Error",B05006108,"B05006108, Error",B05006109,"B05006109, Error",B05006110,"B05006110, Error",B05006111,"B05006111, Error",B05006112,"B05006112, Error",B05006113,"B05006113, Error",B05006114,"B05006114, Error",B05006115,"B05006115, Error",B05006116,"B05006116, Error",B05006117,"B05006117, Error",B05006118,"B05006118, Error",B05006119,"B05006119, Error",B05006120,"B05006120, Error",B05006121,"B05006121, Error",B05006122,"B05006122, Error",B05006123,"B05006123, Error",B05006124,"B05006124, Error",B05006125,"B05006125, Error",B05006126,"B05006126, Error",B05006127,"B05006127, Error",B05006128,"B05006128, Error",B05006129,"B05006129, Error",B05006130,"B05006130, Error",B05006131,"B05006131, Error",B05006132,"B05006132, Error",B05006133,"B05006133, Error",B05006134,"B05006134, Error",B05006135,"B05006135, Error",B05006136,"B05006136, Error",B05006137,"B05006137, Error",B05006138,"B05006138, Error",B05006139,"B05006139, Error",B05006140,"B05006140, Error",B05006141,"B05006141, Error",B05006142,"B05006142, Error",B05006143,"B05006143, Error",B05006144,"B05006144, Error",B05006145,"B05006145, Error",B05006146,"B05006146, Error",B05006147,"B05006147, Error",B05006148,"B05006148, Error",B05006149,"B05006149, Error",B05006150,"B05006150, Error",B05006151,"B05006151, Error",B05006152,"B05006152, Error",B05006153,"B05006153, Error",B05006154,"B05006154, Error",B05006155,"B05006155, Error",B05006156,"B05006156, Error",B05006157,"B05006157, Error",B05006158,"B05006158, Error",B05006159,"B05006159, Error",B05006160,"B05006160, Error",B05006161,"B05006161, Error",B05006162,"B05006162, Error",B05006163,"B05006163, Error",B05006164,"B05006164, Error",B05006165,"B05006165, Error",B05006166,"B05006166, Error",B05006167,"B05006167, Error",B05006168,"B05006168, Error",B05006169,"B05006169, Error",B05006170,"B05006170, Error",B05006171,"B05006171, Error",B05006172,"B05006172, Error",B05006173,"B05006173, Error",B05006174,"B05006174, Error",B05006175,"B05006175, Error",B05006176,"B05006176, Error",B05006177,"B05006177, Error",B05006178,"B05006178, Error"
01000US,United States,47348716,143634,4853586,22518,936763,9652,26250,1613,118130,3608,21516,1483,45270,2024,701936,8226,316673,5490,328639,5110,56624,2661,23661,1559,913865,8220,38593,1603,35528,1728,187713,4473,530425,6068,80388,2603,38708,1807,2510,456,709180,8505,114913,3566,299470,4851,162413,3655,24297,1428,126385,4306,5999,804,2278797,16874,110504,5099,74707,3414,106906,3610,73958,2987,38470,2210,64505,2564,62466,2503,21598,1208,34160,1985,56608,2819,28458,1998,394043,5614,157630,4246,419434,7471,42648,2175,443259,8877,149443,4048,14981,1193,14579444,37792,4273978,21984,2868144,16682,2240561,13859,244825,5321,382758,6235,342785,6597,1042427,11081,20622,1758,4631024,30920,178564,6225,306123,6727,46419,3188,2889077,22609,409645,7408,44634,2424,181850,6401,406982,9275,59652,2853,76312,3735,31766,2264,4362423,24286,162120,5215,153492,4157,99789,3249,169319,4291,84924,2695,2030193,16446,36700,1938,257511,4664,1367327,15281,1048,315,1252894,17035,105487,4331,26727,1849,31062,2185,228117,7343,141839,4583,90010,3727,36244,2325,141697,4553,60557,3240,112212,5056,158315,6078,29873,2016,68414,3840,22340,1458,59125,2976,2762710,24716,790194,10877,51206,3321,285893,6973,169847,6291,93405,3947,36042,2043,40620,2993,28771,2118,84410,4506,218797,6897,91002,4207,42063,4019,63512,3856,22220,2182,454489,10144,37985,2306,230848,7101,99679,3852,58025,4005,27952,2602,136140,5033,130764,4790,5376,837,1062702,14410,45112,3170,214530,7181,33392,2824,99221,4662,463953,10607,35012,2526,48509,3615,34641,2693,88332,3935,100388,5712,301021,6235,135283,3668,102482,2985,32801,1760,44233,2427,23980,1534,36428,2462,61097,2539,24851954,107228,24012140,108032,4792494,29355,37566,2336,49243,2674,1434529,13326,30327,2191,1265269,17281,31817,2044,750543,13996,827129,13003,26622,2284,23478,1683,234552,5594,20259,1920,61160,2916,15047053,94913,47109,2354,102011,3998,1474092,17554,1193191,18677,869367,18111,10928446,63316,315058,7824,106563,3223,11216,1549,4172592,24414,202627,5679,85626,3479,647689,12639,124115,4343,995473,11375,536972,10297,283585,6387,498647,9651,53488,2938,706127,14574,38243,2198,839815,8866,831172,8839,8643,1087
04000US49,Utah,302552,4566,27622,1730,7352,702,566,162,324,115,355,150,363,129,5488,627,1779,377,3284,500,425,146,256,92,6851,748,220,71,278,149,958,320,3883,623,1115,280,371,120,26,30,2992,527,354,142,1024,384,186,103,50,43,1428,386,0,30,10203,1145,307,304,348,188,1848,551,285,130,146,98,299,121,496,355,47,70,263,230,245,187,60,42,784,295,587,207,1944,421,121,103,1397,403,1026,300,224,214,60486,1992,17440,1317,10785,974,8169,788,1090,274,1526,361,1934,387,4060,611,661,325,16505,1624,741,387,242,115,644,388,8899,1206,2039,516,275,148,1407,457,1816,726,195,120,172,123,75,55,21637,1521,1132,433,1284,370,470,173,1302,276,417,202,7677,1048,195,104,1985,564,7175,1008,0,30,4704,832,486,182,55,50,54,43,1926,562,278,179,209,116,180,95,153,112,277,221,418,214,529,288,40,36,13,17,86,89,200,110,11181,1325,3751,770,128,223,575,268,173,117,671,321,98,79,138,117,315,148,1653,604,1442,610,153,196,491,349,691,386,107,86,1578,653,41,39,526,478,177,88,791,348,43,57,1063,310,1029,302,34,62,2322,587,265,210,543,241,132,187,253,179,833,377,9,15,73,90,12,18,202,202,1025,472,11371,859,2589,485,1313,286,1276,366,380,199,541,264,915,416,6946,737,191892,3787,183689,3751,4808,899,22,27,23,27,1521,648,0,30,1916,570,0,30,584,221,471,190,0,30,0,30,241,213,0,30,30,40,125833,3822,54,51,662,255,8638,1262,7654,1051,2872,777,104833,3766,599,257,521,318,0,30,53048,3128,3612,624,1329,388,8143,1027,4933,940,8445,1343,2790,673,156,103,9668,1421,848,294,12891,1760,233,145,8203,880,8200,880,3,7
05000US49049,"Utah County, UT",58150,2002,3701,472,1022,211,54,36,57,52,10,15,65,49,785,175,230,105,496,156,59,37,51,39,910,187,14,18,54,44,172,108,465,124,149,64,56,43,0,30,526,148,11,13,153,87,49,48,0,30,313,132,0,30,1189,389,180,258,11,16,63,73,41,41,0,30,32,31,38,35,41,70,0,30,2,4,0,30,23,20,107,65,363,148,0,30,244,103,44,46,54,53,7766,663,3733,486,1925,352,1173,299,449,161,303,129,436,137,1046,288,326,210,1677,412,0,30,40,46,0,30,1315,372,139,122,34,31,0,30,46,51,62,70,41,58,0,30,2093,426,99,105,32,33,82,80,48,47,102,65,957,278,110,79,86,48,577,361,0,30,215,158,19,20,6,10,0,30,5,8,96,147,62,61,0,30,0,30,0,30,0,30,27,30,0,30,0,30,0,30,48,52,1798,479,144,80,0,30,28,48,2,7,0,30,0,30,5,9,95,62,14,19,404,281,0,30,56,59,348,283,0,30,75,64,5,8,13,21,55,61,0,30,2,3,244,115,244,115,0,30,911,354,265,210,190,108,15,27,48,87,393,292,0,30,0,30,0,30,0,30,20,34,1695,312,630,171,374,140,256,113,6,9,52,45,134,121,873,231,43190,1610,40902,1609,1533,495,8,13,0,30,35,38,0,30,1218,470,0,30,181,98,48,50,0,30,0,30,16,25,0,30,27,40,23109,1309,0,30,262,147,1521,550,1649,539,873,458,18486,1277,219,132,99,80,0,30,16260,1610,1529,374,584,249,2541,525,2583,659,1828,463,1383,426,0,30,3233,924,152,121,2370,600,57,55,2288,393,2288,393,0,30
